2025-05-21 10:02:50 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[8]/div/div/div/div/div[2]/button/span"
2025-05-21 10:02:51 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:51 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[text()='立即发送']"
2025-05-21 10:02:53 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:02:53 INFO [testcases.test_basepage:223] 发送常量短信完成
2025-05-21 10:04:25 INFO [testcases.test_basepage:204] 准备发送常量短信
2025-05-21 10:04:26 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[1]/div/div/div/div/div[3]/div/a[1]"
2025-05-21 10:04:28 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:04:29 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[2]/div/div/div[1]/div/div[3]/button/span"
2025-05-21 10:04:30 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:30 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[2]/div[2]/div/div/div/div[3]/button/span[2]"
2025-05-21 10:04:31 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:31 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input"
2025-05-21 10:04:31 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:04:31 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-content']//span[text()='确 定']"
2025-05-21 10:04:32 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:35 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[4]/div[2]/div/div/div[1]/div[1]/div/div[2]/div/span[2]"
2025-05-21 10:04:35 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:35 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input[@placeholder='请输入模板内容']"
2025-05-21 10:04:36 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:04:36 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[@class='anticon']"
2025-05-21 10:04:36 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:39 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-table-body']//a"
2025-05-21 10:04:41 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:04:44 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[8]/div/div/div/div/div[2]/button/span"
2025-05-21 10:04:44 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:44 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[text()='立即发送']"
2025-05-21 10:04:47 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:04:47 INFO [testcases.test_basepage:223] 发送常量短信完成
2025-05-21 10:06:18 INFO [testcases.test_basepage:244] 准备发送变量短信
2025-05-21 10:06:19 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='childRoot']/div/div[2]/div/div/div[1]/div/div[3]/div/button/span"
2025-05-21 10:06:22 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:06:22 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[3]/div[2]/div/div/div[1]/div/button/span[2]"
2025-05-21 10:06:23 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:06:24 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[text()='开始上传']"
2025-05-21 10:06:24 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:06:34 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[4]/div[2]/div/div/div[1]/div[1]/div/div[2]/div/span[2]"
2025-05-21 10:06:34 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:06:34 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//input[@placeholder='请输入模板内容']"
2025-05-21 10:06:35 INFO [testcases.test_basepage:32] 元素定位成功：tag_nameinput
2025-05-21 10:06:35 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[@class='anticon']"
2025-05-21 10:06:35 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:06:38 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-table-body']//a"
2025-05-21 10:06:38 INFO [testcases.test_basepage:32] 元素定位成功：tag_namea
2025-05-21 10:06:41 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//*[@id='onlinesendForm']/div[8]/div/div/div/div/div[2]/button/span"
2025-05-21 10:06:42 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:06:42 INFO [testcases.test_basepage:25] 正在定位元素：xpath="//div[@class='sms-modal-body']//span[text()='立即发送']"
2025-05-21 10:06:47 INFO [testcases.test_basepage:32] 元素定位成功：tag_namespan
2025-05-21 10:06:47 INFO [testcases.test_basepage:269] 发送变量短信完成
